"key";"label";"required";"nl";"fr";"en";"de";"es";"pl";"pt";"tr"
"quote.error.network";"Offerte · error · network";"true";"De verbinding werd onderbroken. Controleer uw internetverbinding en probeer opnieuw; uw selectie is bewaard.";"La connexion a été interrompue. Vérifiez votre connexion internet et réessayez; votre sélection est conservée.";"The connection was interrupted. Check your internet connection and try again; your selections are still here.";"Die Verbindung wurde unterbrochen. Prüfen Sie Ihre Internetverbindung und versuchen Sie es erneut; Ihre Auswahl bleibt erhalten.";"Se interrumpió la conexión. Compruebe su conexión a internet y vuelva a intentarlo; su selección se ha conservado.";"Połączenie zostało przerwane. Sprawdź połączenie z internetem i spróbuj ponownie; wybór został zachowany.";"A ligação foi interrompida. Verifique a ligação à internet e tente novamente; a sua seleção foi guardada.";"Bağlantı kesildi. İnternet bağlantınızı kontrol edip yeniden deneyin; seçimleriniz korunmuştur."
"quote.error.contact";"Offerte · error · contact";"true";"Contact opnemen met Enrosed";"Contacter Enrosed";"Contact Enrosed";"Enrosed kontaktieren";"Contactar con Enrosed";"Skontaktuj się z Enrosed";"Contactar a Enrosed";"Enrosed ile iletişime geçin"
"quote.validation.products";"Offerte · validation · Producten";"true";"Kies minstens één product.";"Choisissez au moins un produit.";"Choose at least one product.";"Wählen Sie mindestens ein Produkt aus.";"Elija al menos un producto.";"Wybierz co najmniej jeden produkt.";"Escolha pelo menos um produto.";"En az bir ürün seçin."
"quote.validation.delivery";"Offerte · validation · delivery";"true";"Vul de leveringsgegevens volledig in.";"Complétez les informations de livraison.";"Complete the delivery details.";"Vervollständigen Sie die Lieferangaben.";"Complete los datos de envío.";"Uzupełnij dane dostawy.";"Preencha os dados de entrega.";"Teslimat bilgilerini tamamlayın."
"quote.validation.company";"Offerte · validation · Bedrijf";"true";"Vul de verplichte bedrijfs- en contactgegevens in.";"Complétez les champs obligatoires relatifs à l’entreprise et au contact.";"Complete the required company and contact fields.";"Füllen Sie die Pflichtfelder zu Unternehmen und Kontakt aus.";"Complete los campos obligatorios de empresa y contacto.";"Uzupełnij wymagane dane firmy i osoby kontaktowej.";"Preencha os campos obrigatórios da empresa e do contacto.";"Zorunlu şirket ve iletişim alanlarını doldurun."
"quote.status.loading";"Offerte · status · laadmelding";"true";"Actuele groothandelsprijzen worden geladen";"Chargement des prix grossistes actuels";"Loading current trade prices";"Aktuelle Großhandelspreise werden geladen";"Cargando precios mayoristas actuales";"Wczytywanie aktualnych cen hurtowych";"A carregar os preços atuais para grossistas";"Güncel toptan satış fiyatları yükleniyor"
"quote.status.loadError";"Offerte · status · load error";"true";"De actuele prijzen konden niet worden geladen.";"Les prix actuels n’ont pas pu être chargés.";"Current pricing could not be loaded.";"Die aktuellen Preise konnten nicht geladen werden.";"No se han podido cargar los precios actuales.";"Nie udało się wczytać aktualnych cen.";"Não foi possível carregar os preços atuais.";"Güncel fiyatlar yüklenemedi."
"quote.status.retry";"Offerte · status · retry";"true";"Opnieuw proberen";"Réessayer";"Try again";"Erneut versuchen";"Volver a intentarlo";"Spróbuj ponownie";"Tentar novamente";"Tekrar deneyin"
"notFound.label";"404-pagina · bovenlabel";"true";"Pagina niet gevonden";"Page introuvable";"Page not found";"Seite nicht gefunden";"Página no encontrada";"Nie znaleziono strony";"Página não encontrada";"Sayfa bulunamadı"
"notFound.title";"404-pagina · titel";"true";"Deze roos is verhuisd.";"Cette rose a bougé.";"This rose has moved.";"Diese Rose ist umgezogen.";"Esta rosa se ha movido.";"Ta róża się poruszyła.";"Esta rosa moveu-se.";"Bu gül hareket etti."
"notFound.description";"404-pagina · beschrijving";"true";"De door u opgevraagde pagina bestaat niet meer of het adres is onvolledig.";"La page que vous avez demandée n'est plus ici ou l'adresse est incomplète.";"The page you requested is no longer here or the address is incomplete.";"Die von Ihnen angeforderte Seite ist nicht mehr hier oder die Adresse ist unvollständig.";"La página que solicitó ya no está aquí o la dirección está incompleta.";"Żądanej strony już nie ma lub adres jest niekompletny.";"A página solicitada já não se encontra aqui ou o endereço está incompleto.";"İstediğiniz sayfa artık burada değil veya adres eksik."
"notFound.homeCta";"404-pagina · Homeknop";"true";"Terug naar de homepage";"Retour à l’accueil";"Return home";"Zur Startseite";"Volver al inicio";"Wróć na stronę główną";"Voltar ao início";"Ana sayfaya dön"
"notFound.productsCta";"404-pagina · Productenknop";"true";"Bekijk alle producten";"Voir tous les produits";"View all products";"Alle Produkte anzeigen";"Ver todos los productos";"Zobacz wszystkie produkty";"Ver todos os produtos";"Tüm ürünleri görüntüle"
"legal.common.label";"Juridische pagina’s · bovenlabel";"true";"Juridisch & informatie";"Mentions légales & informations";"Legal & information";"Rechtliches & Informationen";"Información legal";"Informacje prawne";"Informação legal";"Yasal bilgiler"
"legal.common.lastUpdated";"Juridische pagina’s · laatst bijgewerkt";"true";"Laatst bijgewerkt {date}";"Dernière mise à jour {date}";"Last updated {date}";"Letzte Aktualisierung {date}";"Última actualización {date}";"Ostatnia aktualizacja {date}";"Última atualização {date}";"Son güncelleme {date}"
"legal.common.onThisPage";"Juridische pagina’s · titel van inhoudsopgave";"true";"Op deze pagina";"Sur cette page";"On this page";"Auf dieser Seite";"En esta página";"Na tej stronie";"Nesta página";"Bu sayfada"
"legal.common.onThisPageAria";"Juridische pagina’s · toegankelijkheidslabel van inhoudsopgave";"true";"Inhoud van {title}";"Sommaire de {title}";"On this {title} page";"Inhalt von {title}";"Contenido de {title}";"Spis treści: {title}";"Conteúdo de {title}";"{title} içeriği"
"legal.common.quoteCta";"Juridische pagina’s · offerteknop";"true";"Vraag een offerte aan";"Demander un devis";"Request a quote";"Fordern Sie ein Angebot an";"Solicitar presupuesto";"Poproś o wycenę";"Pedir orçamento";"Fiyat teklifi isteyin"
"legal.notice.title";"Juridische informatie · titel";"true";"Juridische mededeling";"Mentions légales";"Legal notice";"Rechtlicher Hinweis";"Aviso legal";"Informacja prawna";"Aviso legal";"Yasal bildirim"
"legal.notice.description";"Juridische informatie · beschrijving";"true";"Bedrijfs-, uitgeverij- en website-informatie voor de Enrosed groothandelscatalogus en offerteomgeving.";"Informations sur la société, la publication et le site Web pour l'environnement de catalogue et de devis de vente en gros Enrosed.";"Company, publishing and website information for the Enrosed wholesale catalogue and quotation environment.";"Unternehmens-, Veröffentlichungs- und Website-Informationen für die Großhandelskatalog- und Angebotsumgebung Enrosed.";"Información de empresa, publicación y sitio web para el catálogo mayorista Enrosed y el entorno de presupuestos.";"Informacje o firmie, publikacjach i stronach internetowych dla katalogu hurtowego i środowiska ofertowego Enrosed.";"Informações sobre a empresa, a publicação e o website do catálogo grossista e do ambiente de pedidos de proposta da Enrosed.";"Enrosed toptan satış kataloğu ve teklif ortamı için şirket, yayıncılık ve web sitesi bilgileri."
"legal.notice.updated";"Juridische informatie · datum bijgewerkt";"true";"20 augustus 2026";"20 août 2026";"20 August 2026";"20. August 2026";"20 de agosto de 2026";"20 sierpnia 2026 r";"20 de agosto de 2026";"20 Ağustos 2026"
"legal.notice.publisher.toc";"Juridische informatie · Uitgever · label in inhoudsopgave";"true";"Uitgever";"Éditeur";"Publisher";"Herausgeber";"Editor";"Wydawca";"Editor";"Yayıncı"
"legal.notice.publisher.title";"Juridische informatie · Uitgever · titel";"true";"1. Website-uitgever";"1. Éditeur du site Web";"1. Website publisher";"1. Website-Herausgeber";"1. Editor del sitio web";"1. Wydawca strony internetowej";"1. Editor do site";"1. Web sitesi yayıncısı"
"legal.notice.publisher.legalEntity";"Juridische informatie · Uitgever · juridische entiteit";"true";"Rechtspersoon";"Personne morale";"Legal entity";"Juristische Person";"Entidad jurídica";"Osoba prawna";"Pessoa coletiva";"Tüzel kişilik"
"legal.notice.publisher.registeredAddress";"Juridische informatie · Uitgever · maatschappelijke zetel";"true";"Geregistreerd adres";"Adresse enregistrée";"Registered address";"Registrierte Adresse";"Dirección registrada";"Zarejestrowany adres";"Morada registada";"Kayıtlı adres"
"legal.notice.publisher.vatNumber";"Juridische informatie · Uitgever · btw-nummer";"true";"BTW-nummer";"Numéro de TVA";"VAT number";"Umsatzsteuer-Identifikationsnummer";"Número de IVA";"Numer VAT";"Número de IVA";"KDV numarası"
"legal.notice.publisher.email";"Juridische informatie · Uitgever · e-mailadres";"true";"E-mail";"E-mail";"Email";"E-Mail";"Correo electrónico";"E-mail";"E-mail";"E-posta"
"legal.notice.publisher.telephone";"Juridische informatie · Uitgever · telefoonnummer";"true";"Telefoon";"Téléphone";"Telephone";"Telefon";"Teléfono";"Telefon";"Telefone";"Telefon"
"legal.notice.purpose.toc";"Juridische informatie · Doel van de website · label in inhoudsopgave";"true";"Doel van de website";"Objectif du site Web";"Website purpose";"Zweck der Website";"Propósito del sitio web";"Cel witryny";"Finalidade do site";"Web sitesi amacı"
"legal.notice.purpose.title";"Juridische informatie · Doel van de website · titel";"true";"2. Doel van deze website";"2. Objet de ce site Web";"2. Purpose of this website";"2. Zweck dieser Website";"2. Objeto de este sitio web";"2. Cel tej strony internetowej";"2. Objetivo deste website";"2. Bu web sitesinin amacı"
"legal.notice.purpose.p1";"Juridische informatie · Doel van de website · alinea 1";"true";"Deze website presenteert Enrosed-producten en groothandelsinformatie voor bedrijven, waaronder groothandels, bloemisten en retailinkopers. De site ondersteunt productvergelijking en offerteaanvragen; het is geen online groothandelswebshop en brengt zelf geen verkoopovereenkomst tot stand.";"Ce site présente les produits Enrosed et des informations de vente en gros destinées aux entreprises, notamment aux grossistes, fleuristes et acheteurs du commerce de détail. Il permet de comparer les produits et de demander des devis ; il ne s’agit pas d’une boutique de gros en ligne et aucune vente n’y est conclue directement.";"This website presents Enrosed products and wholesale information to businesses, including wholesalers, florists and retail buyers. It supports product comparison and quotation requests; it is not an online wholesale checkout and does not itself conclude a sale.";"Diese Website präsentiert Enrosed-Produkte und Großhandelsinformationen für Unternehmen, darunter Großhändler, Floristen und Einzelhandelseinkäufer. Sie dient dem Produktvergleich und der Angebotsanfrage; sie ist kein Online-Großhandelsshop und schließt selbst keinen Kaufvertrag ab.";"Este sitio web presenta productos Enrosed e información mayorista para empresas, incluidos mayoristas, floristas y compradores minoristas. Permite comparar productos y solicitar presupuestos; no es una tienda mayorista en línea y no concluye por sí mismo ningún contrato de compraventa.";"Ta strona internetowa prezentuje produkty Enrosed i informacje hurtowe dla firm, w tym hurtowników, kwiaciarni i nabywców detalicznych. Umożliwia porównywanie produktów i składanie zapytań ofertowych; nie jest internetowym sklepem hurtowym i sama nie prowadzi do zawarcia umowy sprzedaży.";"Este website apresenta produtos Enrosed e informações de venda por grosso para empresas, incluindo grossistas, floristas e compradores de retalho. Permite comparar produtos e pedir propostas; não é uma loja grossista online e não conclui qualquer venda por si só.";"Bu web sitesi, toptancılar, çiçekçiler ve perakende alıcıları dâhil işletmelere Enrosed ürünlerini ve toptan satış bilgilerini sunar. Ürünleri karşılaştırmayı ve teklif istemeyi sağlar; çevrimiçi bir toptan mağaza değildir ve tek başına satış işlemini tamamlamaz."
"legal.notice.information.toc";"Juridische informatie · Productinformatie · label in inhoudsopgave";"true";"Productinformatie";"Informations sur le produit";"Product information";"Produktinformationen";"Información del producto";"Informacje o produkcie";"Informação do produto";"Ürün bilgileri"
"legal.notice.information.title";"Juridische informatie · Productinformatie · titel";"true";"3. Product- en commerciële informatie";"3. Informations produit et commerciales";"3. Product and commercial information";"3. Produkt- und Handelsinformationen";"3. Información comercial y de producto";"3. Informacje produktowe i handlowe";"3. Informação comercial e de produtos";"3. Ürün ve ticari bilgiler"
"legal.notice.information.p1";"Juridische informatie · Productinformatie · alinea 1";"true";"Enrosed besteedt redelijke zorg aan het voorbereiden van productafbeeldingen, beschrijvingen en afmetingen. Gepreserveerde botanische producten kunnen natuurlijke variaties vertonen, terwijl schermen van apparaten kleuren anders kunnen reproduceren.";"Enrosed prend un soin raisonnable lors de la préparation des images, des descriptions et des dimensions des produits. Les produits botaniques conservés peuvent présenter des variations naturelles, tandis que les écrans des appareils peuvent reproduire les couleurs différemment.";"Enrosed takes reasonable care when preparing product images, descriptions and dimensions. Preserved botanical products can show natural variation, while device screens can reproduce colours differently.";"Enrosed lässt bei der Erstellung von Produktbildern, Beschreibungen und Abmessungen angemessene Sorgfalt walten. Konservierte Pflanzenprodukte können natürliche Variationen aufweisen, während Gerätebildschirme Farben unterschiedlich wiedergeben können.";"Enrosed tiene un cuidado razonable al preparar imágenes, descripciones y dimensiones de productos. Los productos botánicos conservados pueden mostrar variaciones naturales, mientras que las pantallas de los dispositivos pueden reproducir los colores de manera diferente.";"Enrosed zachowuje należytą staranność podczas przygotowywania zdjęć produktów, opisów i wymiarów. Stabilizowane produkty botaniczne mogą wykazywać naturalne różnice, a ekrany urządzeń mogą odwzorowywać kolory w odmienny sposób.";"A Enrosed toma cuidados razoáveis na preparação das imagens, descrições e dimensões dos produtos. Os produtos botânicos preservados podem apresentar variações naturais e os ecrãs dos dispositivos podem reproduzir as cores de forma diferente.";"Enrosed, ürün resimlerini, açıklamalarını ve boyutlarını hazırlarken makul özeni gösterir. Korunmuş botanik ürünler doğal çeşitlilik gösterebilirken, cihaz ekranları renkleri farklı şekilde yeniden üretebilir."
"legal.notice.information.p2";"Juridische informatie · Productinformatie · alinea 2";"true";"Productbeschikbaarheid, kleur, verpakking, MOQ, doosconfiguratie, prijs, bezorgkosten en levertijd worden bevestigd in de toepasselijke offerte. Website-informatie kan zonder voorafgaande kennisgeving worden gecorrigeerd of bijgewerkt.";"La disponibilité du produit, la couleur, l'emballage, le MOQ, la configuration du carton, le prix, les frais de livraison et le délai de livraison sont confirmés dans le devis applicable. Les informations du site Web peuvent être corrigées ou mises à jour sans préavis.";"Product availability, colour, packaging, MOQ, carton configuration, price, delivery cost and lead time are confirmed in the applicable quotation. Website information can be corrected or updated without prior notice.";"Produktverfügbarkeit, Farbe, Verpackung, MOQ, Kartonkonfiguration, Preis, Lieferkosten und Lieferzeit werden im jeweiligen Angebot bestätigt. Die Informationen auf der Website können ohne vorherige Ankündigung korrigiert oder aktualisiert werden.";"La disponibilidad del producto, el color, el embalaje, el MOQ, la configuración de la caja, el precio, el coste de entrega y el plazo de entrega se confirman en el presupuesto correspondiente. La información del sitio web puede corregirse o actualizarse sin previo aviso.";"Dostępność produktu, kolor, opakowanie, MOQ, konfiguracja kartonu, cena, koszt dostawy i czas realizacji są potwierdzone w obowiązującej ofercie. Informacje zawarte na stronie internetowej mogą zostać poprawione lub zaktualizowane bez wcześniejszego powiadomienia.";"A disponibilidade do produto e da cor, a embalagem, o MOQ, a configuração da caixa, o preço, o custo de entrega e o prazo são confirmados no orçamento aplicável. As informações do website podem ser corrigidas ou atualizadas sem aviso prévio.";"Ürün bulunabilirliği, renk, ambalaj, MOQ, karton konfigürasyonu, fiyat, teslimat maliyeti ve teslim süresi geçerli fiyat teklifinde onaylanır. Web sitesi bilgileri önceden haber verilmeksizin düzeltilebilir veya güncellenebilir."
"legal.notice.intellectualProperty.toc";"Juridische informatie · Intellectueel eigendom · label in inhoudsopgave";"true";"Intellectueel eigendom";"Propriété intellectuelle";"Intellectual property";"Geistiges Eigentum";"Propiedad intelectual";"Własność intelektualna";"Propriedade intelectual";"Fikri mülkiyet"
"legal.notice.intellectualProperty.title";"Juridische informatie · Intellectueel eigendom · titel";"true";"4. Intellectueel eigendom";"4. Propriété intellectuelle";"4. Intellectual property";"4. Geistiges Eigentum";"4. Propiedad intelectual";"4. Własność intelektualna";"4. Propriedade intelectual";"4. Fikri mülkiyet"
"legal.notice.intellectualProperty.p1";"Juridische informatie · Intellectueel eigendom · alinea 1";"true";"De naam Enrosed, woordmerken, visuele identiteit, websiteontwerp, tekst, productfotografie en ander origineel materiaal worden beschermd door toepasselijke wetgeving op het gebied van intellectueel eigendom. Ze mogen niet worden gereproduceerd, opnieuw gepubliceerd, aangepast of commercieel gebruikt zonder voorafgaande schriftelijke toestemming, behalve waar de wet dit uitdrukkelijk toestaat.";"Le nom Enrosed, les marques verbales, l’identité visuelle, la conception du site web, les contenus, les photographies de produits et les autres éléments originaux sont protégés par les lois applicables en matière de propriété intellectuelle. Ils ne peuvent être reproduits, republiés, adaptés ou utilisés commercialement sans autorisation écrite préalable, sauf lorsque la loi l’autorise expressément.";"The Enrosed name, wordmarks, visual identity, website design, copy, product photography and other original materials are protected by applicable intellectual-property laws. They may not be reproduced, republished, adapted or used commercially without prior written permission, except where the law expressly permits it.";"Der Name Enrosed, die Wortmarken, die visuelle Identität, das Website-Design, die Texte, die Produktfotografie und andere Originalmaterialien sind durch die geltenden Gesetze zum Schutz des geistigen Eigentums geschützt. Sie dürfen ohne vorherige schriftliche Genehmigung nicht vervielfältigt, erneut veröffentlicht, angepasst oder kommerziell genutzt werden, außer wenn das Gesetz dies ausdrücklich erlaubt.";"El nombre Enrosed, las marcas denominativas, la identidad visual, el diseño del sitio web, los contenidos, las fotografías de productos y otros materiales originales están protegidos por las leyes de propiedad intelectual aplicables. No podrán reproducirse, volver a publicarse, adaptarse ni utilizarse comercialmente sin autorización previa por escrito, salvo cuando la ley lo permita expresamente.";"Nazwa Enrosed, znaki słowne, identyfikacja wizualna, projekt strony internetowej, treści, fotografie produktów i inne oryginalne materiały są chronione obowiązującymi przepisami prawa własności intelektualnej. Nie wolno ich powielać, ponownie publikować, modyfikować ani wykorzystywać komercyjnie bez uprzedniej pisemnej zgody, chyba że prawo wyraźnie na to zezwala.";"O nome Enrosed, as marcas nominativas, a identidade visual, o design do website, os textos, a fotografia de produto e outros materiais originais estão protegidos pela legislação aplicável em matéria de propriedade intelectual. Não podem ser reproduzidos, republicados, adaptados ou utilizados comercialmente sem autorização prévia por escrito, exceto quando a lei o permita expressamente.";"Enrosed adı, kelime markaları, görsel kimlik, web sitesi tasarımı, içerikler, ürün fotoğrafları ve diğer özgün materyaller yürürlükteki fikri mülkiyet mevzuatıyla korunmaktadır. Kanunun açıkça izin verdiği durumlar dışında, önceden yazılı izin alınmadan çoğaltılamaz, yeniden yayımlanamaz, uyarlanamaz veya ticari amaçla kullanılamaz."
"legal.notice.externalLinks.toc";"Juridische informatie · Externe links · label in inhoudsopgave";"true";"Externe links";"Liens externes";"External links";"Externe Links";"Enlaces externos";"Linki zewnętrzne";"Ligações externas";"Harici bağlantılar"
"legal.notice.externalLinks.title";"Juridische informatie · Externe links · titel";"true";"5. Externe websites";"5. Sites Web externes";"5. External websites";"5. Externe Websites";"5. Sitios web externos";"5. Strony zewnętrzne";"5. Sites externos";"5. Harici web siteleri"
"legal.notice.externalLinks.p1";"Juridische informatie · Externe links · alinea 1";"true";"Voor het gemak zijn koppelingen naar organisaties zoals handelsplatforms of bezoeklocaties opgenomen. Deze websites worden beheerd door hun respectieve exploitanten en passen hun eigen voorwaarden, toegankelijkheid, privacy en cookiepraktijken toe. Enrosed is niet verantwoordelijk voor externe inhoud of beschikbaarheid.";"Des liens vers des organisations telles que des plateformes commerciales ou des lieux de visite sont fournis pour plus de commodité. Ces sites Web sont contrôlés par leurs opérateurs respectifs et appliquent leurs propres conditions, pratiques d'accessibilité, de confidentialité et de cookies. Enrosed n'est pas responsable du contenu externe ou de la disponibilité.";"Links to organisations such as trade platforms or visit locations are provided for convenience. Those websites are controlled by their respective operators and apply their own terms, accessibility, privacy and cookie practices. Enrosed is not responsible for external content or availability.";"Zur Vereinfachung werden Links zu Organisationen wie Handelsplattformen oder Besuchsstandorten bereitgestellt. Diese Websites werden von ihren jeweiligen Betreibern kontrolliert und wenden ihre eigenen Bedingungen, Zugänglichkeit, Datenschutz und Cookie-Praktiken an. Enrosed ist nicht verantwortlich für externe Inhalte oder Verfügbarkeit.";"Para mayor comodidad, se proporcionan enlaces a organizaciones como plataformas comerciales o lugares de visita. Esos sitios web están controlados por sus respectivos operadores y aplican sus propios términos, accesibilidad, privacidad y prácticas de cookies. Enrosed no es responsable del contenido externo ni de la disponibilidad.";"Linki do organizacji, takich jak platformy handlowe lub miejsca wizyt, podano dla wygody. Strony te są kontrolowane przez odpowiednich operatorów i stosują własne zasady dotyczące dostępności, prywatności i plików cookie. Enrosed nie ponosi odpowiedzialności za treści i dostępność zewnętrzną.";"As ligações para organizações, como plataformas comerciais ou locais de visita, são disponibilizadas por conveniência. Esses websites são controlados pelos respetivos operadores e aplicam os seus próprios termos e práticas de acessibilidade, privacidade e cookies. A Enrosed não é responsável pelo conteúdo externo nem pela sua disponibilidade.";"Ticaret platformları veya ziyaret yerleri gibi kuruluşlara bağlantılar kolaylık sağlamak amacıyla sağlanmıştır. Bu web siteleri ilgili operatörler tarafından kontrol edilir ve kendi şartlarını, erişilebilirliklerini, gizliliklerini ve çerez uygulamalarını uygularlar. Enrosed, harici içerik veya kullanılabilirlikten sorumlu değildir."
"legal.notice.availability.toc";"Juridische informatie · Beschikbaarheid website · label in inhoudsopgave";"true";"Beschikbaarheid en aansprakelijkheid";"Disponibilité et responsabilité";"Availability & liability";"Verfügbarkeit und Haftung";"Disponibilidad y responsabilidad";"Dostępność i odpowiedzialność";"Disponibilidade e responsabilidade";"Kullanılabilirlik ve sorumluluk"
"legal.notice.availability.title";"Juridische informatie · Beschikbaarheid website · titel";"true";"6. Beschikbaarheid en aansprakelijkheid van de website";"6. Disponibilité et responsabilité du site Web";"6. Website availability and liability";"6. Verfügbarkeit und Haftung der Website";"6. Disponibilidad y responsabilidad del sitio web";"6. Dostępność strony internetowej i odpowiedzialność";"6. Disponibilidade e responsabilidade do site";"6. Web sitesinin kullanılabilirliği ve sorumluluğu"
"legal.notice.availability.p1";"Juridische informatie · Beschikbaarheid website · alinea 1";"true";"Enrosed streeft ernaar deze website veilig en beschikbaar te houden, maar kan geen ononderbroken of foutloze toegang garanderen. Voor zover toegestaan door de wet, is Enrosed niet verantwoordelijk voor verlies dat uitsluitend wordt veroorzaakt door tijdelijke onbeschikbaarheid, ongeoorloofde inmenging of het vertrouwen op informatie die normaal gesproken door een offerte wordt bevestigd.";"Enrosed vise à maintenir ce site Web sécurisé et disponible, mais ne peut garantir un accès ininterrompu ou sans erreur. Dans la mesure permise par la loi, Enrosed n'est pas responsable des pertes causées uniquement par une indisponibilité temporaire, une interférence non autorisée ou la confiance accordée à des informations qu'un devis confirmerait normalement.";"Enrosed aims to keep this website secure and available, but cannot guarantee uninterrupted or error-free access. To the extent permitted by law, Enrosed is not responsible for loss caused solely by temporary unavailability, unauthorised interference or reliance on information that a quotation would normally confirm.";"Enrosed ist bestrebt, die Sicherheit und Verfügbarkeit dieser Website zu gewährleisten, kann jedoch keinen unterbrechungsfreien oder fehlerfreien Zugriff garantieren. Soweit gesetzlich zulässig, haftet Enrosed nicht für Verluste, die ausschließlich durch vorübergehende Nichtverfügbarkeit, unbefugte Eingriffe oder das Vertrauen auf Informationen verursacht werden, die normalerweise in einem Angebot bestätigt würden.";"Enrosed procura mantener este sitio web seguro y disponible, pero no puede garantizar un acceso ininterrumpido o sin errores. En la medida permitida por la ley, Enrosed no se responsabiliza de las pérdidas causadas únicamente por la indisponibilidad temporal, las interferencias no autorizadas o la confianza en información que normalmente confirmaría un presupuesto.";"Enrosed ma na celu zapewnienie bezpieczeństwa i dostępności tej witryny internetowej, ale nie może zagwarantować nieprzerwanego i wolnego od błędów dostępu. W zakresie dozwolonym przez prawo, Enrosed nie ponosi odpowiedzialności za straty spowodowane wyłącznie czasową niedostępnością, nieuprawnioną ingerencją lub poleganiem na informacjach, które normalnie potwierdzałaby wycena.";"A Enrosed procura manter este website seguro e disponível, mas não pode garantir um acesso ininterrupto ou isento de erros. Na medida permitida por lei, a Enrosed não é responsável por perdas causadas exclusivamente por indisponibilidade temporária, interferência não autorizada ou confiança em informações que seriam normalmente confirmadas num orçamento.";"Enrosed bu web sitesini güvenli ve kullanılabilir tutmayı amaçlamaktadır ancak kesintisiz veya hatasız erişimi garanti edemez. Yasaların izin verdiği ölçüde, Enrosed yalnızca geçici olarak kullanılamama, yetkisiz müdahale veya bir teklifin normalde doğrulayacağı bilgilere dayanılmasından kaynaklanan kayıplardan sorumlu değildir."
"legal.notice.availability.p2";"Juridische informatie · Beschikbaarheid website · alinea 2";"true";"Niets op deze pagina sluit aansprakelijkheid of klantenrechten uit die niet kunnen worden beperkt onder de toepasselijke wetgeving.";"Rien sur cette page n'exclut la responsabilité ou les droits du client qui ne peuvent être limités en vertu de la loi applicable.";"Nothing on this page excludes liability or customer rights that cannot be limited under applicable law.";"Nichts auf dieser Seite schließt die Haftung oder Rechte des Kunden aus, die nach geltendem Recht nicht eingeschränkt werden können.";"Nada en esta página excluye la responsabilidad o los derechos del cliente que no pueden limitarse según la ley aplicable.";"Nic na tej stronie nie wyklucza odpowiedzialności ani praw klienta, których nie można ograniczyć na mocy obowiązującego prawa.";"Nada nesta página exclui responsabilidades ou direitos do cliente que não possam ser limitados pela lei aplicável.";"Bu sayfadaki hiçbir şey, geçerli yasalar kapsamında sınırlandırılamayan sorumluluğu veya müşteri haklarını hariç tutmaz."
"legal.notice.law.toc";"Juridische informatie · Toepasselijk recht · label in inhoudsopgave";"true";"Toepasselijk recht";"Loi applicable";"Applicable law";"Anwendbares Recht";"Ley aplicable";"Obowiązujące prawo";"Lei aplicável";"Geçerli yasa"
"legal.notice.law.title";"Juridische informatie · Toepasselijk recht · titel";"true";"7. Toepasselijk recht";"7. Loi applicable";"7. Applicable law";"7. Anwendbares Recht";"7. Ley aplicable";"7. Obowiązujące prawo";"7. Lei aplicável";"7. Geçerli yasa"
"legal.notice.law.p1";"Juridische informatie · Toepasselijk recht · alinea 1";"true";"Deze juridische kennisgeving wordt beheerst door het Belgisch recht. Vragen over de website of toestemming om Enrosed-materialen te gebruiken, kunnen worden gestuurd naar {email}.";"Ces mentions légales sont régies par le droit belge. Les questions concernant le site Web ou l'autorisation d'utiliser les documents Enrosed peuvent être envoyées à {email}.";"This legal notice is governed by Belgian law. Questions about the website or permission to use Enrosed materials can be sent to {email}.";"Dieser rechtliche Hinweis unterliegt belgischem Recht. Fragen zur Website oder zur Erlaubnis zur Nutzung von Enrosed-Materialien können an {email} gesendet werden.";"Este aviso legal se rige por la ley belga. Las preguntas sobre el sitio web o el permiso para utilizar materiales Enrosed se pueden enviar a {email}.";"Niniejsza informacja prawna podlega prawu belgijskiemu. Pytania dotyczące serwisu lub zgody na wykorzystanie materiałów Enrosed można kierować na adres {email}.";"Este aviso legal é regido pela lei belga. As questões sobre o site ou a permissão para utilizar materiais do Enrosed podem ser enviadas para {email}.";"Bu yasal bildirim Belçika yasalarına tabidir. Web sitesiyle ilgili sorular veya Enrosed materyallerini kullanma izni, {email} adresine gönderilebilir."
"legal.privacy.title";"Privacybeleid · titel";"true";"Privacybeleid";"Politique de confidentialité";"Privacy policy";"Datenschutzrichtlinie";"Política de privacidad";"Polityka prywatności";"Política de Privacidade";"Gizlilik ilkesi"
"legal.privacy.description";"Privacybeleid · beschrijving";"true";"Hoe Enrosed omgaat met persoonlijke en zakelijke contactgegevens wanneer u op deze groothandelswebsite surft of een offerte aanvraagt.";"Comment Enrosed gère les données de contact personnelles et professionnelles lorsque vous naviguez sur ce site Web de vente en gros ou demandez un devis.";"How Enrosed handles personal and business contact data when you browse this wholesale website or request a quotation.";"Wie Enrosed persönliche und geschäftliche Kontaktdaten verarbeitet, wenn Sie diese Großhandelswebsite durchsuchen oder ein Angebot anfordern.";"Cómo trata Enrosed los datos de contacto personales y empresariales cuando visita este sitio web mayorista o solicita un presupuesto.";"Jak Enrosed obsługuje osobiste i biznesowe dane kontaktowe, gdy przeglądasz tę witrynę hurtowni lub prosisz o wycenę.";"Como a Enrosed trata os dados pessoais e os dados de contacto profissionais quando visita este website grossista ou pede uma proposta.";"Bu toptan satış web sitesine göz attığınızda veya fiyat teklifi talep ettiğinizde Enrosed kişisel ve ticari iletişim verilerini nasıl işler?"
